symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
RIOT,LONG,BULL_TREND,2025-10-06T10:12:00-04:00,2025-10-06T10:50:00-04:00,20.95,21.513679536310942,16513,TRAILING_STOP,9308.04,1.1,38
SOFI,LONG,BULL_TREND,2025-10-06T11:03:00-04:00,2025-10-06T11:29:00-04:00,26.4101,26.463082035173773,14117,TRAILING_STOP,747.95,0.18,26
SOFI,LONG,BULL_TREND,2025-10-06T12:16:00-04:00,2025-10-06T12:38:00-04:00,26.715,26.89116780299992,14011,TRAILING_STOP,2468.29,0.64,22
SNOW,LONG,BULL_TREND,2025-10-06T09:52:00-04:00,2025-10-06T14:10:00-04:00,242.94,244.19136273506686,1492,TRAILING_STOP,1867.03,0.44,258
HOOD,LONG,BULL_TREND,2025-10-07T10:01:00-04:00,2025-10-07T11:31:00-04:00,145.44,143.39722857142854,2633,STOP_LOSS,-5378.62,-1.0,90
SOFI,LONG,BULL_TREND,2025-10-07T13:11:00-04:00,2025-10-07T15:46:00-04:00,27.9,28.00378107526882,13341,TRAILING_STOP,1384.54,0.38,155
DDOG,LONG,BULL_TREND,2025-10-08T10:01:00-04:00,2025-10-08T10:13:00-04:00,159.4,160.61562473561568,2352,TRAILING_STOP,2859.15,0.54,12
SNOW,LONG,BULL_TREND,2025-10-08T10:01:00-04:00,2025-10-08T10:34:00-04:00,242.62,245.37602512752454,1545,TRAILING_STOP,4258.06,1.04,33
DDOG,LONG,BULL_TREND,2025-10-08T10:40:00-04:00,2025-10-08T12:02:00-04:00,163.03,164.54232018375234,2387,TRAILING_STOP,3609.91,1.26,82
PANW,LONG,BULL_TREND,2025-10-08T10:02:00-04:00,2025-10-08T12:17:00-04:00,215.67,216.27040506329115,1,TRAILING_STOP,0.6,0.34,135
AFRM,LONG,BULL_TREND,2025-10-09T10:07:00-04:00,2025-10-09T10:20:00-04:00,78.9625,77.64235714285715,5020,STOP_LOSS,-6627.12,-1.0,13
RIOT,LONG,BULL_TREND,2025-10-10T09:56:00-04:00,2025-10-10T10:09:00-04:00,23.79,23.208285714285715,16108,STOP_LOSS,-9370.25,-1.0,13
AFRM,LONG,BULL_TREND,2025-10-13T09:45:00-04:00,2025-10-13T15:55:00-04:00,73.49,73.19,4959,EOD_CLOSE,-1487.7,-0.19,370
SOFI,LONG,BULL_TREND,2025-10-13T09:45:00-04:00,2025-10-13T15:55:00-04:00,27.1,27.235,13449,EOD_CLOSE,1815.61,0.18,370
RBLX,LONG,BULL_VOLATILE,2025-10-14T09:55:00-04:00,2025-10-14T10:31:00-04:00,127.87,131.80075175457216,2855,TRAILING_STOP,11222.3,1.89,36
RBLX,LONG,BULL_VOLATILE,2025-10-14T11:33:00-04:00,2025-10-14T11:40:00-04:00,136.41,135.27374285714285,2841,STOP_LOSS,-3228.11,-1.0,7
RBLX,LONG,BULL_VOLATILE,2025-10-14T11:45:00-04:00,2025-10-14T13:35:00-04:00,136.91,135.4758857142857,2783,STOP_LOSS,-3991.14,-1.0,110
AMD,LONG,BULL_VOLATILE,2025-10-14T09:53:00-04:00,2025-10-14T14:58:00-04:00,219.97,222.38771620675544,1659,TRAILING_STOP,4010.99,0.48,305
AMD,LONG,BULL_VOLATILE,2025-10-15T09:50:00-04:00,2025-10-15T10:00:00-04:00,227.0,230.00561501573316,1679,TRAILING_STOP,5046.43,0.7,10
MARA,LONG,BULL_VOLATILE,2025-10-15T10:00:00-04:00,2025-10-15T10:19:00-04:00,22.9593,23.180882910193255,17040,TRAILING_STOP,3775.77,0.42,19
BAC,LONG,BULL_VOLATILE,2025-10-15T09:53:00-04:00,2025-10-15T10:39:00-04:00,52.27,52.56790415152095,2,TRAILING_STOP,0.6,0.53,46
NET,LONG,BULL_VOLATILE,2025-10-15T09:51:00-04:00,2025-10-15T11:03:00-04:00,221.92,223.13508015372332,1717,TRAILING_STOP,2086.29,0.37,72
AMD,LONG,BULL_VOLATILE,2025-10-15T10:55:00-04:00,2025-10-15T11:03:00-04:00,235.74,236.5879557933074,1691,TRAILING_STOP,1433.89,0.32,8
AMD,LONG,BULL_VOLATILE,2025-10-15T11:16:00-04:00,2025-10-15T11:36:00-04:00,238.242,235.0930285714286,1703,STOP_LOSS,-5362.7,-1.0,20
PLTR,LONG,BULL_VOLATILE,2025-10-16T09:46:00-04:00,2025-10-16T10:03:00-04:00,182.61,183.49491230021826,2163,TRAILING_STOP,1914.07,0.34,17
SNOW,LONG,BULL_VOLATILE,2025-10-16T09:53:00-04:00,2025-10-16T10:34:00-04:00,249.31,244.07634285714283,1584,STOP_LOSS,-8290.11,-1.0,41
CRM,LONG,BULL_VOLATILE,2025-10-16T10:01:00-04:00,2025-10-16T10:37:00-04:00,254.3789,250.55364285714282,1,STOP_LOSS,-3.83,-1.0,36
MARA,LONG,BULL_VOLATILE,2025-10-16T10:17:00-04:00,2025-10-16T11:25:00-04:00,22.2608,21.782914285714288,17921,STOP_LOSS,-8564.19,-1.0,68
DDOG,LONG,BULL_VOLATILE,2025-10-17T10:03:00-04:00,2025-10-17T11:00:00-04:00,155.6325,153.97427142857143,2346,STOP_LOSS,-3890.2,-1.0,57
BAC,LONG,BULL_VOLATILE,2025-10-17T09:50:00-04:00,2025-10-17T11:25:00-04:00,51.02,51.2802478257826,7158,TRAILING_STOP,1862.85,0.43,95
MRNA,LONG,BULL_VOLATILE,2025-10-20T09:55:00-04:00,2025-10-20T10:05:00-04:00,27.21,26.850828571428572,8,STOP_LOSS,-2.87,-1.0,10
META,LONG,BULL_VOLATILE,2025-10-20T09:50:00-04:00,2025-10-20T10:09:00-04:00,727.86,729.587475,496,TRAILING_STOP,856.83,0.34,19
MRNA,LONG,BULL_VOLATILE,2025-10-20T10:11:00-04:00,2025-10-20T10:29:00-04:00,27.29,27.43124225514317,13297,TRAILING_STOP,1878.1,0.34,18
NFLX,LONG,BULL_VOLATILE,2025-10-20T09:53:00-04:00,2025-10-20T14:49:00-04:00,122.115,124.25093083264605,2957,TRAILING_STOP,6315.95,2.08,296
AMZN,LONG,BULL_VOLATILE,2025-10-21T09:56:00-04:00,2025-10-21T10:28:00-04:00,220.58,221.46216,1719,TRAILING_STOP,1516.43,0.57,32
SOFI,LONG,BULL_VOLATILE,2025-10-23T10:01:00-04:00,2025-10-23T10:14:00-04:00,27.995,27.50931428571429,6,STOP_LOSS,-2.91,-1.0,13
HOOD,LONG,BULL_VOLATILE,2025-10-23T09:49:00-04:00,2025-10-23T11:44:00-04:00,129.4,131.87667786123868,2954,TRAILING_STOP,7316.11,1.05,115
GOOGL,LONG,BULL_VOLATILE,2025-10-23T09:49:00-04:00,2025-10-23T15:55:00-04:00,254.62,252.74,1501,EOD_CLOSE,-2821.88,-0.82,366
UPST,LONG,BULL_VOLATILE,2025-10-24T09:58:00-04:00,2025-10-24T10:18:00-04:00,54.5899,54.815614238426626,7167,TRAILING_STOP,1617.69,0.28,20
SOFI,LONG,BULL_VOLATILE,2025-10-24T09:59:00-04:00,2025-10-24T10:55:00-04:00,29.5488,29.09234285714286,1,STOP_LOSS,-0.46,-1.0,56
COIN,LONG,BULL_VOLATILE,2025-10-24T11:10:00-04:00,2025-10-24T11:55:00-04:00,348.32,344.81517142857143,1132,STOP_LOSS,-3967.47,-1.0,45
AMD,LONG,BULL_VOLATILE,2025-10-24T09:56:00-04:00,2025-10-24T15:55:00-04:00,250.49,253.105,1562,EOD_CLOSE,4084.63,0.66,359
RIOT,LONG,BULL_VOLATILE,2025-10-27T09:52:00-04:00,2025-10-27T14:02:00-04:00,22.03,22.54052266389988,4,TRAILING_STOP,2.04,1.02,250
NET,LONG,BULL_VOLATILE,2025-10-27T09:46:00-04:00,2025-10-27T15:55:00-04:00,221.24,224.78,1784,EOD_CLOSE,6315.36,1.28,369
SOFI,LONG,BULL_VOLATILE,2025-10-27T09:47:00-04:00,2025-10-27T15:55:00-04:00,30.18,30.025,13079,EOD_CLOSE,-2027.25,-0.2,368
SOFI,LONG,BULL_VOLATILE,2025-10-28T11:23:00-04:00,2025-10-28T11:41:00-04:00,29.755,29.89757990253739,13555,TRAILING_STOP,1932.67,0.36,18
SOFI,LONG,BULL_VOLATILE,2025-10-28T13:35:00-04:00,2025-10-28T14:18:00-04:00,30.8095,31.330598178205697,13216,TRAILING_STOP,6886.83,1.67,43
RBLX,LONG,BULL_VOLATILE,2025-10-28T09:58:00-04:00,2025-10-28T14:36:00-04:00,133.27,131.63277142857143,3026,STOP_LOSS,-4954.25,-1.0,278
NVDA,LONG,BULL_TREND,2025-10-29T09:57:00-04:00,2025-10-29T10:50:00-04:00,211.02,208.78640000000001,1947,STOP_LOSS,-4348.82,-1.0,53
CAT,LONG,BULL_TREND,2025-10-29T10:25:00-04:00,2025-10-29T14:38:00-04:00,591.65,582.8811714285714,694,STOP_LOSS,-6085.57,-1.0,253
NOW,LONG,BULL_TREND,2025-10-30T09:49:00-04:00,2025-10-30T10:19:00-04:00,185.915,190.70395904718364,2098,TRAILING_STOP,10047.24,1.1,30
LLY,LONG,BULL_TREND,2025-10-30T10:09:00-04:00,2025-10-30T10:21:00-04:00,830.795,819.4211428571427,469,STOP_LOSS,-5334.34,-1.0,12
LLY,LONG,BULL_TREND,2025-10-30T11:18:00-04:00,2025-10-30T11:25:00-04:00,845.26,846.4536250705615,472,TRAILING_STOP,563.39,0.16,7
NET,LONG,BULL_TREND,2025-10-31T09:51:00-04:00,2025-10-31T10:05:00-04:00,244.33,246.33945015815848,1640,TRAILING_STOP,3295.5,0.28,14
RIOT,LONG,BULL_TREND,2025-10-31T10:08:00-04:00,2025-10-31T10:32:00-04:00,20.7988,20.19965714285714,19584,STOP_LOSS,-11733.61,-1.0,24
MSTR,LONG,BULL_TREND,2025-10-31T10:34:00-04:00,2025-10-31T10:58:00-04:00,270.575,273.354958605087,1356,TRAILING_STOP,3769.62,0.93,24
PINS,LONG,BULL_TREND,2025-10-31T09:54:00-04:00,2025-10-31T11:26:00-04:00,33.22,33.369336458243744,6,TRAILING_STOP,0.9,0.38,92
MDB,LONG,BULL_TREND,2025-10-31T09:53:00-04:00,2025-10-31T12:20:00-04:00,357.33,349.85439999999994,1121,STOP_LOSS,-8380.15,-1.0,147
ROKU,LONG,BULL_TREND,2025-11-03T11:13:00-05:00,2025-11-03T11:25:00-05:00,108.91,109.64228618774348,3440,TRAILING_STOP,2519.06,0.84,12
ROKU,LONG,BULL_TREND,2025-11-03T13:12:00-05:00,2025-11-03T14:05:00-05:00,109.8,109.03139999999999,3458,STOP_LOSS,-2657.82,-1.0,53
COIN,LONG,BULL_TREND,2025-11-05T09:52:00-05:00,2025-11-05T11:05:00-05:00,314.4,316.2139741875681,1190,TRAILING_STOP,2158.63,0.35,73
MRNA,LONG,BULL_TREND,2025-11-05T09:52:00-05:00,2025-11-05T11:19:00-05:00,23.8999,23.530299999999997,10,STOP_LOSS,-3.7,-1.0,87
SOFI,LONG,BULL_TREND,2025-11-05T09:48:00-05:00,2025-11-05T15:34:00-05:00,29.775,29.994631608492266,12573,TRAILING_STOP,2761.43,0.3,346
ARM,LONG,BULL_TREND,2025-11-06T09:48:00-05:00,2025-11-06T10:26:00-05:00,163.4801,158.1035571428571,2350,STOP_LOSS,-12634.88,-1.0,38
SMCI,LONG,BULL_TREND,2025-11-06T09:47:00-05:00,2025-11-06T10:37:00-05:00,42.6558,41.63994285714286,9007,STOP_LOSS,-9149.83,-1.0,50
DDOG,LONG,BULL_TREND,2025-11-06T13:44:00-05:00,2025-11-06T13:52:00-05:00,189.175,187.79074285714285,1800,STOP_LOSS,-2491.66,-1.0,8
DDOG,LONG,BULL_TREND,2025-11-06T14:05:00-05:00,2025-11-06T14:07:00-05:00,190.015,190.48697830622393,1766,TRAILING_STOP,833.51,0.21,2
DDOG,LONG,BULL_TREND,2025-11-06T14:08:00-05:00,2025-11-06T14:31:00-05:00,191.5,192.68377420440135,1761,TRAILING_STOP,2084.63,0.49,23
LYFT,LONG,BULL_TREND,2025-11-06T09:49:00-05:00,2025-11-06T15:28:00-05:00,21.51,21.669978521617853,1,TRAILING_STOP,0.16,0.16,339
SHOP,LONG,BULL_TREND,2025-11-10T09:54:00-05:00,2025-11-10T10:17:00-05:00,157.69,158.6117245626591,2165,TRAILING_STOP,1995.53,0.48,23
AFRM,LONG,BULL_TREND,2025-11-10T10:26:00-05:00,2025-11-10T11:27:00-05:00,77.0987,75.98535714285713,4481,STOP_LOSS,-4988.89,-1.0,61
META,LONG,BULL_TREND,2025-11-10T09:45:00-05:00,2025-11-10T15:55:00-05:00,630.84,633.82,541,EOD_CLOSE,1612.18,0.43,370
NET,LONG,BULL_TREND,2025-11-10T09:56:00-05:00,2025-11-10T15:55:00-05:00,242.78,240.49,1,EOD_CLOSE,-2.29,-0.39,359
AFRM,LONG,BULL_TREND,2025-11-12T09:59:00-05:00,2025-11-12T10:09:00-05:00,77.94,78.80067644341801,4345,TRAILING_STOP,3739.64,0.76,10
LYFT,LONG,BULL_TREND,2025-11-12T10:10:00-05:00,2025-11-12T10:34:00-05:00,25.245,24.8276,13713,STOP_LOSS,-5723.81,-1.0,24
SOFI,LONG,BULL_TREND,2025-11-12T10:01:00-05:00,2025-11-12T11:14:00-05:00,32.235,31.28648571428571,10507,STOP_LOSS,-9966.04,-1.0,73
