symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
AMD,LONG,NEUTRAL,2025-06-24T10:16:00-04:00,2025-06-24T10:25:00-04:00,137.752,136.22062857142856,1722,STOP_LOSS,-2637.02,-1.0,9
HOOD,LONG,NEUTRAL,2025-06-24T10:33:00-04:00,2025-06-24T10:56:00-04:00,80.71,81.22713745508611,2838,TRAILING_STOP,1467.64,0.51,23
HOOD,LONG,NEUTRAL,2025-06-24T11:11:00-04:00,2025-06-24T11:54:00-04:00,81.79,81.04511428571429,2872,STOP_LOSS,-2139.31,-1.0,43
NET,LONG,NEUTRAL,2025-06-24T09:48:00-04:00,2025-06-24T12:14:00-04:00,186.28,186.9241004632044,1261,TRAILING_STOP,812.21,0.33,146
COIN,LONG,NEUTRAL,2025-06-24T12:57:00-04:00,2025-06-24T13:09:00-04:00,340.51,343.14103470265195,682,TRAILING_STOP,1794.37,0.89,12
COIN,LONG,NEUTRAL,2025-06-24T14:43:00-04:00,2025-06-24T15:09:00-04:00,348.0939,344.5736428571429,677,STOP_LOSS,-2383.21,-1.0,26
AMD,LONG,NEUTRAL,2025-06-25T10:30:00-04:00,2025-06-25T10:33:00-04:00,141.74,142.005919823016,1630,TRAILING_STOP,433.45,0.21,3
HOOD,LONG,NEUTRAL,2025-06-25T09:58:00-04:00,2025-06-25T11:06:00-04:00,84.8,83.38648342857142,2725,STOP_LOSS,-3851.83,-1.0,68
AMD,LONG,BULL_TREND,2025-06-26T10:04:00-04:00,2025-06-26T10:13:00-04:00,144.0404,142.48971428571429,1,STOP_LOSS,-1.55,-1.0,9
NVDA,LONG,BULL_TREND,2025-06-26T10:02:00-04:00,2025-06-26T10:43:00-04:00,155.8446,156.07343673762196,1438,TRAILING_STOP,329.07,0.18,41
HOOD,LONG,BULL_TREND,2025-06-26T09:56:00-04:00,2025-06-26T14:30:00-04:00,83.89,84.1756448606168,2673,TRAILING_STOP,763.53,0.24,274
BA,LONG,BULL_TREND,2025-06-27T10:03:00-04:00,2025-06-27T10:32:00-04:00,207.855,209.1703325,1089,TRAILING_STOP,1432.4,0.9,29
HOOD,LONG,BULL_TREND,2025-06-30T09:54:00-04:00,2025-06-30T11:02:00-04:00,88.05,86.40294285714285,2604,STOP_LOSS,-4288.94,-1.0,68
HOOD,LONG,BULL_TREND,2025-06-30T11:23:00-04:00,2025-06-30T11:42:00-04:00,88.41,90.98626074619872,2399,TRAILING_STOP,6180.45,1.5,19
HOOD,LONG,BULL_TREND,2025-06-30T12:08:00-04:00,2025-06-30T13:51:00-04:00,91.6304,92.6025670578328,2543,TRAILING_STOP,2472.22,0.65,103
PLTR,LONG,BULL_TREND,2025-06-30T09:56:00-04:00,2025-06-30T15:28:00-04:00,137.87,135.51040000000003,1663,STOP_LOSS,-3924.01,-1.0,332
HOOD,LONG,BULL_TREND,2025-07-01T09:50:00-04:00,2025-07-01T10:17:00-04:00,96.6455,97.8489132521875,2381,TRAILING_STOP,2865.33,0.46,27
AAPL,LONG,BULL_TREND,2025-07-01T09:49:00-04:00,2025-07-01T15:55:00-04:00,208.7698,207.985,1102,EOD_CLOSE,-864.85,-0.34,366
TSLA,LONG,BULL_TREND,2025-07-02T10:39:00-04:00,2025-07-02T11:19:00-04:00,313.3301,314.9575678769086,747,TRAILING_STOP,1215.72,0.44,40
PLTR,LONG,BULL_TREND,2025-07-03T09:50:00-04:00,2025-07-03T10:03:00-04:00,134.154,134.69871266710538,1763,TRAILING_STOP,960.33,0.3,13
