symbol,entry_time,exit_time,entry_price,exit_price,qty,side,exit_reason,pnl,r_multiple,hold_minutes
AMD,2025-06-24T10:16:00-04:00,2025-06-24T10:25:00-04:00,137.752,136.22062857142856,1719,LONG,STOP_LOSS,-2632.43,-1.0,9
PLTR,2025-06-24T10:03:00-04:00,2025-06-24T10:51:00-04:00,141.015,141.40871102466306,1,LONG,TRAILING_STOP,0.39,0.3,48
HOOD,2025-06-24T10:33:00-04:00,2025-06-24T10:56:00-04:00,80.71,81.22713745508611,2832,LONG,TRAILING_STOP,1464.53,0.51,23
HOOD,2025-06-24T11:11:00-04:00,2025-06-24T11:54:00-04:00,81.79,81.04511428571429,2867,LONG,STOP_LOSS,-2135.59,-1.0,43
NET,2025-06-24T09:48:00-04:00,2025-06-24T12:14:00-04:00,186.28,186.9241004632044,1259,LONG,TRAILING_STOP,810.92,0.33,146
COIN,2025-06-24T12:57:00-04:00,2025-06-24T13:09:00-04:00,340.51,343.14103470265195,681,LONG,TRAILING_STOP,1791.73,0.89,12
COIN,2025-06-24T14:43:00-04:00,2025-06-24T15:09:00-04:00,348.0939,344.5736428571429,676,LONG,STOP_LOSS,-2379.69,-1.0,26
AMD,2025-06-25T10:30:00-04:00,2025-06-25T10:33:00-04:00,141.74,142.005919823016,1627,LONG,TRAILING_STOP,432.65,0.21,3
HOOD,2025-06-25T09:58:00-04:00,2025-06-25T11:06:00-04:00,84.8,83.38648342857142,2720,LONG,STOP_LOSS,-3844.77,-1.0,68
NVDA,2025-06-26T10:02:00-04:00,2025-06-26T10:43:00-04:00,155.8446,156.07343673762196,1436,LONG,TRAILING_STOP,328.61,0.18,41
HOOD,2025-06-26T09:56:00-04:00,2025-06-26T14:30:00-04:00,83.89,84.1756448606168,2669,LONG,TRAILING_STOP,762.39,0.24,274
BA,2025-06-27T10:03:00-04:00,2025-06-27T10:32:00-04:00,207.855,209.1703325,1087,LONG,TRAILING_STOP,1429.77,0.9,29
HOOD,2025-06-30T09:54:00-04:00,2025-06-30T11:02:00-04:00,88.05,86.40294285714285,2600,LONG,STOP_LOSS,-4282.35,-1.0,68
HOOD,2025-06-30T11:23:00-04:00,2025-06-30T11:42:00-04:00,88.41,90.98626074619872,2396,LONG,TRAILING_STOP,6172.72,1.5,19
HOOD,2025-06-30T12:08:00-04:00,2025-06-30T13:51:00-04:00,91.6304,92.6025670578328,2539,LONG,TRAILING_STOP,2468.33,0.65,103
PLTR,2025-06-30T09:56:00-04:00,2025-06-30T15:28:00-04:00,137.87,135.51040000000003,1660,LONG,STOP_LOSS,-3916.94,-1.0,332
HOOD,2025-07-01T09:50:00-04:00,2025-07-01T10:17:00-04:00,96.6455,97.8489132521875,2378,LONG,TRAILING_STOP,2861.72,0.46,27
AAPL,2025-07-01T09:49:00-04:00,2025-07-01T15:55:00-04:00,208.7698,207.985,1100,LONG,EOD_CLOSE,-863.28,-0.34,366
TSLA,2025-07-02T10:39:00-04:00,2025-07-02T11:19:00-04:00,313.3301,314.9575678769086,746,LONG,TRAILING_STOP,1214.09,0.44,40
PLTR,2025-07-03T09:50:00-04:00,2025-07-03T10:03:00-04:00,134.154,134.69871266710538,1761,LONG,TRAILING_STOP,959.24,0.3,13
DDOG,2025-07-03T09:55:00-04:00,2025-07-03T10:14:00-04:00,149.4481,150.8618292924911,1,LONG,TRAILING_STOP,1.41,0.83,19
NOW,2025-07-03T09:51:00-04:00,2025-07-03T10:34:00-04:00,205.8,208.19626544495347,1147,LONG,TRAILING_STOP,2748.52,1.51,43
DDOG,2025-07-03T10:27:00-04:00,2025-07-03T11:50:00-04:00,151.855,154.7728185298946,1568,LONG,TRAILING_STOP,4575.14,1.42,83
DDOG,2025-07-03T12:58:00-04:00,2025-07-07T09:30:00-04:00,156.31,156.64,1617,LONG,TIME_EXIT,533.61,0.16,5552
HOOD,2025-07-09T09:45:00-04:00,2025-07-09T10:26:00-04:00,92.89,93.66818620334342,2733,LONG,TRAILING_STOP,2126.78,0.4,41
LLY,2025-07-09T10:09:00-04:00,2025-07-09T10:27:00-04:00,793.17,787.4617714285714,320,LONG,STOP_LOSS,-1826.63,-1.0,18
AMD,2025-07-10T10:17:00-04:00,2025-07-10T10:44:00-04:00,144.26,145.0708136856073,1764,LONG,TRAILING_STOP,1430.28,0.55,27
COIN,2025-07-14T09:54:00-04:00,2025-07-14T10:32:00-04:00,396.6,389.2212857142857,648,LONG,STOP_LOSS,-4781.41,-1.0,38
HOOD,2025-07-14T10:04:00-04:00,2025-07-14T14:04:00-04:00,100.68,99.24194285714287,2556,LONG,STOP_LOSS,-3675.67,-1.0,240
COIN,2025-07-18T10:07:00-04:00,2025-07-18T10:26:00-04:00,440.9707,434.1860142857143,545,LONG,STOP_LOSS,-3697.65,-1.0,19
HOOD,2025-07-18T09:56:00-04:00,2025-07-18T10:42:00-04:00,113.07,110.69325714285714,2126,LONG,STOP_LOSS,-5052.96,-1.0,46
COIN,2025-07-21T09:46:00-04:00,2025-07-21T09:56:00-04:00,427.5692,429.32735332152083,521,LONG,TRAILING_STOP,916.0,0.23,10
NET,2025-07-21T09:47:00-04:00,2025-07-21T10:12:00-04:00,198.925,199.27889420923174,1120,LONG,TRAILING_STOP,396.36,0.12,25
COIN,2025-07-22T11:07:00-04:00,2025-07-22T12:10:00-04:00,408.86,404.65113228571437,551,LONG,STOP_LOSS,-2319.09,-1.0,63
BAC,2025-07-24T09:58:00-04:00,2025-07-24T14:43:00-04:00,48.9,48.5577,4517,LONG,STOP_LOSS,-1546.17,-1.0,285
AMD,2025-07-25T09:52:00-04:00,2025-07-25T10:14:00-04:00,164.699,166.24233064213243,1322,LONG,TRAILING_STOP,2040.28,0.84,22
PLTR,2025-07-25T09:50:00-04:00,2025-07-25T15:55:00-04:00,159.84,158.7101,1362,LONG,EOD_CLOSE,-1538.92,-0.52,365
NOW,2025-07-28T09:52:00-04:00,2025-07-28T10:21:00-04:00,198.6622,196.8035142857143,1101,LONG,STOP_LOSS,-2046.41,-1.0,29
TSLA,2025-07-28T10:10:00-04:00,2025-07-28T10:22:00-04:00,322.715,324.59048517378227,678,LONG,TRAILING_STOP,1271.58,0.52,12
AMD,2025-07-29T09:57:00-04:00,2025-07-29T10:45:00-04:00,179.809,181.14693026807015,1208,LONG,TRAILING_STOP,1616.22,0.58,48
SNOW,2025-07-31T09:49:00-04:00,2025-07-31T10:21:00-04:00,224.295,226.85735414966896,983,LONG,TRAILING_STOP,2518.79,0.9,32
NET,2025-07-31T09:50:00-04:00,2025-07-31T11:15:00-04:00,206.2164,208.8094910164759,1069,LONG,TRAILING_STOP,2772.01,0.74,85
HOOD,2025-08-04T09:45:00-04:00,2025-08-04T15:55:00-04:00,100.59,106.27,2297,LONG,EOD_CLOSE,13046.96,1.69,370
NVDA,2025-08-04T09:45:00-04:00,2025-08-04T15:55:00-04:00,177.08,179.765,1305,LONG,EOD_CLOSE,3503.92,1.53,370
DDOG,2025-08-07T09:51:00-04:00,2025-08-07T10:04:00-04:00,146.165,142.09788571428572,1807,LONG,STOP_LOSS,-7349.28,-1.0,13
HOOD,2025-08-07T09:49:00-04:00,2025-08-07T10:08:00-04:00,109.47,110.46419906119094,2413,LONG,TRAILING_STOP,2399.0,0.46,19
HOOD,2025-08-07T10:46:00-04:00,2025-08-07T11:26:00-04:00,111.5,111.88870445483664,2280,LONG,TRAILING_STOP,886.25,0.27,40
PLTR,2025-08-07T10:14:00-04:00,2025-08-07T12:01:00-04:00,182.775,183.25685257674343,1391,LONG,TRAILING_STOP,670.26,0.2,107
PLTR,2025-08-08T09:55:00-04:00,2025-08-08T15:55:00-04:00,187.32,186.7,1374,LONG,EOD_CLOSE,-851.88,-0.31,360
COIN,2025-08-11T10:04:00-04:00,2025-08-11T10:48:00-04:00,327.15,330.92363977729747,781,LONG,TRAILING_STOP,2947.21,0.7,44
TSLA,2025-08-11T10:22:00-04:00,2025-08-11T11:46:00-04:00,343.13,343.78378777930897,745,LONG,TRAILING_STOP,487.07,0.19,84
PANW,2025-08-12T10:12:00-04:00,2025-08-12T11:46:00-04:00,173.07,174.024067346631,1517,LONG,TRAILING_STOP,1447.32,0.72,94
GS,2025-08-12T10:28:00-04:00,2025-08-12T14:24:00-04:00,743.64,745.0602834033557,353,LONG,TRAILING_STOP,501.36,0.23,236
LLY,2025-08-13T09:46:00-04:00,2025-08-13T10:00:00-04:00,650.385,653.7079091848169,409,LONG,TRAILING_STOP,1359.07,0.44,14
AMD,2025-08-13T10:06:00-04:00,2025-08-13T10:46:00-04:00,185.365,182.8462857142857,1452,LONG,STOP_LOSS,-3657.17,-1.0,40
CRM,2025-08-13T10:11:00-04:00,2025-08-13T11:38:00-04:00,233.07,234.28904857645466,1154,LONG,TRAILING_STOP,1406.78,0.54,87
AMD,2025-08-13T12:02:00-04:00,2025-08-13T13:30:00-04:00,183.94,184.79096,1439,LONG,TRAILING_STOP,1224.53,0.66,88
UNH,2025-08-15T09:59:00-04:00,2025-08-15T11:57:00-04:00,301.75,306.35433536181796,885,LONG,TRAILING_STOP,4074.84,0.72,118
UNH,2025-08-18T09:49:00-04:00,2025-08-18T11:26:00-04:00,311.725,313.3334204494896,883,LONG,TRAILING_STOP,1420.24,0.27,97
