symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
PLTR,SHORT,NEUTRAL,2025-06-13T10:25:00-04:00,2025-06-13T10:36:00-04:00,135.29,136.93,571,STOP_LOSS,-932.21,-1.0,11
V,SHORT,BULL_TREND,2025-06-13T10:29:00-04:00,2025-06-13T10:37:00-04:00,347.28,346.11,223,TRAILING_STOP,261.73,0.42,8
GS,SHORT,NEUTRAL,2025-06-13T10:00:00-04:00,2025-06-13T11:06:00-04:00,611.77,616.66,124,STOP_LOSS,-606.88,-1.0,66
CVX,SHORT,NEUTRAL,2025-06-16T10:00:00-04:00,2025-06-16T15:51:00-04:00,144.48,146.19,531,STOP_LOSS,-911.82,-1.0,351
PLTR,SHORT,NEUTRAL,2025-06-16T10:18:00-04:00,2025-06-16T15:55:00-04:00,142.39,141.56,539,EOD_CLOSE,447.26,0.44,337
V,SHORT,NEUTRAL,2025-06-18T12:26:00-04:00,2025-06-18T12:44:00-04:00,343.74,342.89,222,TRAILING_STOP,189.68,0.23,18
TSLA,SHORT,NEUTRAL,2025-06-20T10:08:00-04:00,2025-06-20T10:23:00-04:00,322.32,321.61,237,TRAILING_STOP,169.55,0.17,15
PLTR,SHORT,NEUTRAL,2025-06-20T10:00:00-04:00,2025-06-20T10:27:00-04:00,138.93,138.06,551,TRAILING_STOP,482.08,0.49,27
AMD,SHORT,BULL_TREND,2025-06-20T10:43:00-04:00,2025-06-20T10:50:00-04:00,129.37,128.02,595,SCALP_TP,800.84,1.0,7
NVDA,SHORT,BULL_TREND,2025-06-20T10:46:00-04:00,2025-06-20T10:56:00-04:00,143.57,143.17,537,TRAILING_STOP,217.79,0.35,10
COIN,SHORT,BULL_TREND,2025-06-20T10:45:00-04:00,2025-06-20T11:31:00-04:00,300.62,306.19,256,STOP_LOSS,-1426.77,-1.0,46
HOOD,SHORT,NEUTRAL,2025-06-20T10:00:00-04:00,2025-06-20T12:42:00-04:00,76.51,77.71,1001,STOP_LOSS,-1202.7,-1.0,162
COIN,SHORT,BULL_TREND,2025-06-20T13:27:00-04:00,2025-06-20T15:54:00-04:00,303.28,307.79,250,STOP_LOSS,-1128.49,-1.0,147
AMD,SHORT,NEUTRAL,2025-06-23T11:12:00-04:00,2025-06-23T11:48:00-04:00,130.12,129.62,577,TRAILING_STOP,288.14,0.45,36
COIN,SHORT,NEUTRAL,2025-06-23T10:58:00-04:00,2025-06-23T12:17:00-04:00,306.14,302.11,245,SCALP_TP,986.74,1.0,79
TSLA,SHORT,NEUTRAL,2025-06-24T10:04:00-04:00,2025-06-24T10:35:00-04:00,345.92,342.77,219,TRAILING_STOP,689.57,0.54,31
HOOD,SHORT,NEUTRAL,2025-06-25T11:14:00-04:00,2025-06-25T11:51:00-04:00,83.17,82.28,920,SCALP_TP,815.91,1.0,37
COIN,SHORT,NEUTRAL,2025-06-25T10:15:00-04:00,2025-06-25T12:27:00-04:00,352.31,347.8,217,TRAILING_STOP,977.66,0.43,132
COIN,SHORT,NEUTRAL,2025-06-27T10:27:00-04:00,2025-06-27T10:37:00-04:00,355.58,350.72,218,SCALP_TP,1059.58,1.0,10
PLTR,SHORT,NEUTRAL,2025-06-27T10:54:00-04:00,2025-06-27T11:00:00-04:00,137.57,136.13,571,SCALP_TP,823.51,1.0,6
COIN,SHORT,NEUTRAL,2025-06-27T10:51:00-04:00,2025-06-27T11:22:00-04:00,350.45,348.87,224,TRAILING_STOP,353.99,0.29,31
COIN,SHORT,NEUTRAL,2025-06-30T10:03:00-04:00,2025-06-30T15:47:00-04:00,353.4,350.24,224,TRAILING_STOP,707.04,0.54,344
PLTR,SHORT,NEUTRAL,2025-07-01T10:00:00-04:00,2025-07-01T10:10:00-04:00,133.12,132.44,600,TRAILING_STOP,408.0,0.45,10
HOOD,SHORT,NEUTRAL,2025-07-01T10:26:00-04:00,2025-07-01T10:39:00-04:00,96.57,94.22,830,SCALP_TP,1944.04,1.0,13
PLTR,SHORT,NEUTRAL,2025-07-01T10:36:00-04:00,2025-07-01T10:48:00-04:00,130.36,129.47,615,TRAILING_STOP,550.35,0.51,12
HOOD,SHORT,NEUTRAL,2025-07-01T11:06:00-04:00,2025-07-01T11:13:00-04:00,93.21,90.97,879,SCALP_TP,1970.6,1.0,7
NET,SHORT,NEUTRAL,2025-07-01T11:41:00-04:00,2025-07-01T11:50:00-04:00,183.1,181.0,455,SCALP_TP,957.15,1.0,9
AMD,SHORT,NEUTRAL,2025-07-01T11:13:00-04:00,2025-07-01T12:14:00-04:00,135.49,136.82,615,STOP_LOSS,-815.7,-1.0,61
HOOD,SHORT,NEUTRAL,2025-07-01T11:14:00-04:00,2025-07-01T13:49:00-04:00,90.77,93.16,918,STOP_LOSS,-2189.87,-1.0,155
PLTR,SHORT,NEUTRAL,2025-07-02T10:01:00-04:00,2025-07-02T10:21:00-04:00,130.5,132.11,627,STOP_LOSS,-1011.83,-1.0,20
UNH,SHORT,NEUTRAL,2025-07-02T10:03:00-04:00,2025-07-02T10:55:00-04:00,316.56,315.07,258,TRAILING_STOP,383.37,0.37,52
HOOD,SHORT,NEUTRAL,2025-07-03T10:03:00-04:00,2025-07-03T10:41:00-04:00,93.69,92.96,869,TRAILING_STOP,637.94,0.35,38
HOOD,SHORT,NEUTRAL,2025-07-08T10:08:00-04:00,2025-07-08T10:42:00-04:00,93.32,92.45,878,TRAILING_STOP,767.78,0.46,34
GS,SHORT,NEUTRAL,2025-07-08T10:11:00-04:00,2025-07-08T10:54:00-04:00,700.0,694.4,117,SCALP_TP,655.2,1.0,43
HOOD,SHORT,NEUTRAL,2025-07-09T10:30:00-04:00,2025-07-09T11:22:00-04:00,92.83,94.31,893,STOP_LOSS,-1320.59,-1.0,52
CRM,SHORT,NEUTRAL,2025-07-10T10:01:00-04:00,2025-07-10T10:19:00-04:00,264.55,266.7,310,STOP_LOSS,-666.42,-1.0,18
NET,SHORT,NEUTRAL,2025-07-10T10:28:00-04:00,2025-07-10T10:39:00-04:00,183.54,180.91,444,SCALP_TP,1168.73,1.0,11
PLTR,SHORT,NEUTRAL,2025-07-10T10:02:00-04:00,2025-07-10T10:47:00-04:00,142.13,141.39,577,TRAILING_STOP,428.79,0.34,45
META,SHORT,NEUTRAL,2025-07-10T10:07:00-04:00,2025-07-10T11:26:00-04:00,721.32,727.09,113,STOP_LOSS,-652.07,-1.0,79
AMD,SHORT,NEUTRAL,2025-07-10T11:15:00-04:00,2025-07-10T15:55:00-04:00,143.46,144.04,576,EOD_CLOSE,-339.84,-0.5,280
COIN,SHORT,NEUTRAL,2025-07-11T10:45:00-04:00,2025-07-11T10:52:00-04:00,386.8,386.19,211,TRAILING_STOP,128.71,0.15,7
COIN,SHORT,NEUTRAL,2025-07-14T10:28:00-04:00,2025-07-14T15:55:00-04:00,392.0,393.29,209,EOD_CLOSE,-269.61,-0.23,327
LLY,SHORT,NEUTRAL,2025-07-15T10:45:00-04:00,2025-07-15T10:58:00-04:00,780.89,774.38,104,SCALP_TP,677.53,1.0,13
HOOD,SHORT,BULL_VOLATILE,2025-07-16T11:21:00-04:00,2025-07-16T11:39:00-04:00,101.88,101.31,808,TRAILING_STOP,458.78,0.43,18
GS,SHORT,BULL_VOLATILE,2025-07-16T11:36:00-04:00,2025-07-16T11:55:00-04:00,692.32,699.15,118,STOP_LOSS,-806.26,-1.0,19
HOOD,SHORT,NEUTRAL,2025-07-18T10:28:00-04:00,2025-07-18T11:17:00-04:00,111.18,110.63,738,TRAILING_STOP,409.73,0.27,49
CVX,SHORT,NEUTRAL,2025-07-18T11:01:00-04:00,2025-07-18T11:21:00-04:00,150.4,149.91,545,TRAILING_STOP,263.27,0.39,20
COIN,SHORT,NEUTRAL,2025-07-18T10:41:00-04:00,2025-07-18T12:36:00-04:00,427.59,417.6,192,SCALP_TP,1918.95,1.0,115
HOOD,SHORT,NEUTRAL,2025-07-18T12:34:00-04:00,2025-07-18T12:46:00-04:00,108.81,108.39,759,TRAILING_STOP,322.46,0.42,12
COIN,SHORT,NEUTRAL,2025-07-18T12:53:00-04:00,2025-07-18T13:14:00-04:00,414.54,412.8,203,TRAILING_STOP,351.97,0.31,21
UNH,SHORT,NEUTRAL,2025-07-24T11:04:00-04:00,2025-07-24T11:26:00-04:00,283.92,281.65,297,SCALP_TP,675.3,1.0,22
COIN,SHORT,NEUTRAL,2025-07-28T10:54:00-04:00,2025-07-28T12:23:00-04:00,376.69,380.37,225,STOP_LOSS,-828.81,-1.0,89
AMD,SHORT,NEUTRAL,2025-07-28T11:20:00-04:00,2025-07-28T15:55:00-04:00,172.28,173.66,492,STOP_LOSS,-678.09,-1.0,275
BA,SHORT,NEUTRAL,2025-07-29T10:00:00-04:00,2025-07-29T15:55:00-04:00,230.68,225.75,363,EOD_CLOSE,1789.59,0.84,355
PANW,SHORT,NEUTRAL,2025-07-29T12:34:00-04:00,2025-07-29T15:55:00-04:00,197.72,193.29,424,EOD_CLOSE,1878.32,0.5,201
PANW,SHORT,NEUTRAL,2025-07-30T10:02:00-04:00,2025-07-30T10:26:00-04:00,177.32,180.13,487,STOP_LOSS,-1369.61,-1.0,24
UNH,SHORT,NEUTRAL,2025-07-31T10:16:00-04:00,2025-07-31T10:50:00-04:00,255.5,254.75,334,TRAILING_STOP,249.77,0.3,34
PANW,SHORT,NEUTRAL,2025-07-31T10:14:00-04:00,2025-07-31T10:52:00-04:00,174.85,173.8,488,TRAILING_STOP,514.11,0.49,38
HOOD,SHORT,NEUTRAL,2025-07-31T12:28:00-04:00,2025-07-31T13:00:00-04:00,104.92,104.32,819,TRAILING_STOP,495.5,0.54,32
UNH,SHORT,BULL_TREND,2025-07-31T11:11:00-04:00,2025-07-31T15:29:00-04:00,252.86,250.47,340,SCALP_TP,815.86,1.0,258
AMD,SHORT,BULL_TREND,2025-08-01T10:03:00-04:00,2025-08-01T10:15:00-04:00,167.31,169.9,519,STOP_LOSS,-1343.75,-1.0,12
PANW,SHORT,BULL_TREND,2025-08-01T10:01:00-04:00,2025-08-01T10:16:00-04:00,168.62,170.22,515,STOP_LOSS,-824.86,-1.0,15
AAPL,SHORT,NEUTRAL,2025-08-01T10:22:00-04:00,2025-08-01T11:41:00-04:00,204.65,203.97,417,TRAILING_STOP,284.34,0.3,79
COIN,SHORT,NEUTRAL,2025-08-01T11:17:00-04:00,2025-08-01T11:45:00-04:00,318.2,322.05,268,STOP_LOSS,-1031.06,-1.0,28
COIN,SHORT,NEUTRAL,2025-08-01T12:41:00-04:00,2025-08-01T13:08:00-04:00,319.12,317.67,265,TRAILING_STOP,385.15,0.39,27
UNH,SHORT,NEUTRAL,2025-08-01T10:22:00-04:00,2025-08-01T13:31:00-04:00,241.45,238.33,353,SCALP_TP,1103.6,1.0,189
CRM,SHORT,BULL_TREND,2025-08-01T10:00:00-04:00,2025-08-01T14:27:00-04:00,252.14,250.97,344,TRAILING_STOP,401.85,0.58,267
NET,SHORT,NEUTRAL,2025-08-04T10:17:00-04:00,2025-08-04T10:57:00-04:00,207.21,206.14,416,TRAILING_STOP,445.12,0.4,40
COIN,SHORT,NEUTRAL,2025-08-04T11:00:00-04:00,2025-08-04T11:09:00-04:00,315.8,319.97,274,STOP_LOSS,-1143.5,-1.0,9
AMD,SHORT,NEUTRAL,2025-08-05T10:23:00-04:00,2025-08-05T10:41:00-04:00,175.47,173.88,488,SCALP_TP,773.51,1.0,18
COIN,SHORT,NEUTRAL,2025-08-05T10:01:00-04:00,2025-08-05T10:44:00-04:00,307.74,301.9,278,SCALP_TP,1621.71,1.0,43
COIN,SHORT,BULL_TREND,2025-08-05T10:45:00-04:00,2025-08-05T15:55:00-04:00,301.65,297.51,289,SCALP_TP,1194.75,1.0,310
AMD,SHORT,NEUTRAL,2025-08-06T10:12:00-04:00,2025-08-06T10:26:00-04:00,163.23,160.81,540,SCALP_TP,1307.81,1.0,14
COIN,SHORT,NEUTRAL,2025-08-06T10:26:00-04:00,2025-08-06T12:05:00-04:00,294.12,297.82,303,STOP_LOSS,-1122.18,-1.0,99
DDOG,SHORT,NEUTRAL,2025-08-07T10:04:00-04:00,2025-08-07T10:55:00-04:00,141.66,136.59,624,SCALP_TP,3161.67,1.0,51
PANW,SHORT,NEUTRAL,2025-08-07T10:34:00-04:00,2025-08-07T11:48:00-04:00,168.05,166.53,526,SCALP_TP,797.48,1.0,74
COIN,SHORT,NEUTRAL,2025-08-07T10:32:00-04:00,2025-08-07T11:53:00-04:00,312.07,317.09,283,STOP_LOSS,-1421.89,-1.0,81
